longitude,index,date_valid_start_id,date_valid_end_id
152.55,339,1000,999999
153,340,1000,999999
153.45,341,1000,999999
153.9,342,1000,999999
154.34999,343,1000,999999
154.8,344,1000,999999
155.25,345,1000,999999
155.7,346,1000,999999
156.15,347,1000,999999
156.59999,348,1000,999999
157.05,349,1000,999999
157.5,350,1000,999999
157.95,351,1000,999999
158.4,352,1000,999999
158.84999,353,1000,999999
159.3,354,1000,999999
159.75,355,1000,999999
160.2,356,1000,999999
160.65,357,1000,999999
161.09999,358,1000,999999
161.55,359,1000,999999
162,360,1000,999999
162.45,361,1000,999999
162.9,362,1000,999999
163.34999,363,1000,999999
163.8,364,1000,999999
164.25,365,1000,999999
164.7,366,1000,999999
165.15,367,1000,999999
165.59999,368,1000,999999
166.05,369,1000,999999
166.5,370,1000,999999
166.95,371,1000,999999
167.4,372,1000,999999
167.84999,373,1000,999999
168.3,374,1000,999999
168.75,375,1000,999999
169.2,376,1000,999999
169.65,377,1000,999999
170.09999,378,1000,999999
170.55,379,1000,999999
171,380,1000,999999
171.45,381,1000,999999
171.9,382,1000,999999
172.34999,383,1000,999999
172.79999,384,1000,999999
173.25,385,1000,999999
173.7,386,1000,999999
174.15,387,1000,999999
174.59999,388,1000,999999
175.04999,389,1000,999999
175.5,390,1000,999999
175.95,391,1000,999999
176.4,392,1000,999999
176.84999,393,1000,999999
177.29999,394,1000,999999
177.75,395,1000,999999
178.2,396,1000,999999
178.65,397,1000,999999
179.09999,398,1000,999999
179.54999,399,1000,999999
180,400,1000,999999
180.45,401,1000,999999
180.9,402,1000,999999
181.34999,403,1000,999999
181.79999,404,1000,999999
182.25,405,1000,999999
182.7,406,1000,999999
183.15,407,1000,999999
183.59999,408,1000,999999
184.04999,409,1000,999999
184.5,410,1000,999999
184.95,411,1000,999999
185.4,412,1000,999999
185.84999,413,1000,999999
186.29999,414,1000,999999
186.75,415,1000,999999
187.2,416,1000,999999
187.65,417,1000,999999
188.09999,418,1000,999999
188.54999,419,1000,999999
189,420,1000,999999
189.45,421,1000,999999
189.9,422,1000,999999
190.34999,423,1000,999999
190.79999,424,1000,999999
191.25,425,1000,999999
191.7,426,1000,999999
192.15,427,1000,999999
192.59999,428,1000,999999
193.04999,429,1000,999999
193.5,430,1000,999999
193.95,431,1000,999999
194.4,432,1000,999999
194.84999,433,1000,999999
195.29999,434,1000,999999
195.75,435,1000,999999
196.2,436,1000,999999
196.65,437,1000,999999
