latitude,index,date_valid_start_id,date_valid_end_id
57.600006,492,1000,999999
57.90001,493,1000,999999
58.200012,494,1000,999999
58.5,495,1000,999999
58.800003,496,1000,999999
59.100006,497,1000,999999
59.40001,498,1000,999999
59.700012,499,1000,999999
60,500,1000,999999
60.300003,501,1000,999999
60.600006,502,1000,999999
60.90001,503,1000,999999
61.200012,504,1000,999999
61.5,505,1000,999999
61.800003,506,1000,999999
62.100006,507,1000,999999
62.40001,508,1000,999999
62.700012,509,1000,999999
63,510,1000,999999
63.300003,511,1000,999999
63.600006,512,1000,999999
63.90001,513,1000,999999
64.20001,514,1000,999999
64.5,515,1000,999999
64.8,516,1000,999999
65.100006,517,1000,999999
65.40001,518,1000,999999
65.70001,519,1000,999999
66,520,1000,999999
66.3,521,1000,999999
66.600006,522,1000,999999
66.90001,523,1000,999999
67.20001,524,1000,999999
67.5,525,1000,999999
67.8,526,1000,999999
68.100006,527,1000,999999
68.40001,528,1000,999999
68.70001,529,1000,999999
69,530,1000,999999
69.3,531,1000,999999
69.600006,532,1000,999999
69.90001,533,1000,999999
70.20001,534,1000,999999
70.5,535,1000,999999
70.8,536,1000,999999
71.100006,537,1000,999999
71.40001,538,1000,999999
71.70001,539,1000,999999
72,540,1000,999999
72.3,541,1000,999999
72.600006,542,1000,999999
72.90001,543,1000,999999
73.20001,544,1000,999999
73.5,545,1000,999999
73.8,546,1000,999999
74.100006,547,1000,999999
74.40001,548,1000,999999
74.70001,549,1000,999999
75,550,1000,999999
75.3,551,1000,999999
75.600006,552,1000,999999
75.90001,553,1000,999999
76.20001,554,1000,999999
76.5,555,1000,999999
76.8,556,1000,999999
77.100006,557,1000,999999
77.40001,558,1000,999999
77.70001,559,1000,999999
78,560,1000,999999
78.3,561,1000,999999
78.600006,562,1000,999999
78.90001,563,1000,999999
79.20001,564,1000,999999
79.5,565,1000,999999
79.8,566,1000,999999
80.100006,567,1000,999999
80.40001,568,1000,999999
80.70001,569,1000,999999
81,570,1000,999999
81.3,571,1000,999999
81.600006,572,1000,999999
81.90001,573,1000,999999
82.20001,574,1000,999999
82.5,575,1000,999999
82.8,576,1000,999999
83.100006,577,1000,999999
83.40001,578,1000,999999
83.70001,579,1000,999999
84,580,1000,999999
84.3,581,1000,999999
84.600006,582,1000,999999
84.90001,583,1000,999999
85.20001,584,1000,999999
85.5,585,1000,999999
85.8,586,1000,999999
86.100006,587,1000,999999
86.40001,588,1000,999999
86.70001,589,1000,999999
87,590,1000,999999
87.3,591,1000,999999
87.600006,592,1000,999999
87.90001,593,1000,999999
88.20001,594,1000,999999
88.5,595,1000,999999
88.8,596,1000,999999
89.100006,597,1000,999999
89.40001,598,1000,999999
89.70001,599,1000,999999
90,600,1000,999999
